match_id,season,match_number,match_date,city,venue,team1,team2,toss_winner,toss_decision,result,match_winner,win_by_runs,win_by_wickets,player_of_match
335982,2008,1,18/04/2008,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,win,Kolkata Knight Riders,140,,Brendon Barrie McCullum
1082591,2017,1,05/04/2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,win,Sunrisers Hyderabad,35,,Yuvraj Singh
1082592,2017,2,06/04/2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,win,Rising Pune Supergiant,,7,Steven Peter Devereux Smith
1082593,2017,3,07/04/2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,win,Kolkata Knight Riders,,10,Christopher Austin Lynn
1082594,2017,4,08/04/2017,Indore,Holkar Cricket Stadium,Punjab Kings,Rising Pune Supergiant,Punjab Kings,field,win,Punjab Kings,,6,Glenn James Maxwell
1082595,2017,5,08/04/2017,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,win,Royal Challengers Bangalore,15,,Kedar Mahadav Jadhav
1082596,2017,6,09/04/2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,win,Sunrisers Hyderabad,,9,Rashid Khan Arman
1082597,2017,7,09/04/2017,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,win,Mumbai Indians,,4,Nitish Rana
1082598,2017,8,10/04/2017,Indore,Holkar Cricket Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,win,Punjab Kings,,8,Axar Rajeshbhai Patel
1082599,2017,9,11/04/2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,win,Delhi Capitals,97,,Sanju Viswanath Samson
1082600,2017,10,12/04/2017,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,win,Mumbai Indians,,4,Jasprit Jasbirsingh Bumrah
1082601,2017,11,13/04/2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,win,Kolkata Knight Riders,,8,Sunil Philip Narine
1082602,2017,12,14/04/2017,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,win,Mumbai Indians,,4,Kieron Adrian Pollard
1082603,2017,13,14/04/2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,win,Gujarat Lions,,7,Andrew James Tye
